first/last,FDL,DFL,DBR,DBL,RDB,LDB,LDF,BDL,BDR,,PARITY:,,,
FDL,,,"[D R : [R U R', D2]]","[R D R' : [R D' R' D, F']]","[R U : [R U' R', D]]","[R UD : [D, R U' R']]",,"[R' D' R : [R U R', D2]]","[R U R' D' : [R U' R', D2]]",,R' U' D R' D' R2 D R' U D' R' D' R U' R' U D R,,PROGRESS (54 TOTAL):,54
DFL,,,"[R' UD R : [R D' R', U']]","[F', R' B R]","[F', R D' R' D]","[F' : [D2, R U R']]",,"[B : [F', R' B' R]]","[R : [R U R', D]]",,D R U'D R2' U' R D' R' UD R2 D' R' U R' D',,,
DBR,"[D R : [D2, R U R']]","[R' UD R : [U', R D' R']]",,"[R U R' U'D' : [D', R U R']]",,"[R U'D' R' : [R' D R, U]]","[R : [D, R2 U R2 U' R2]]","[R' : [R2 U' R2 U R2, D']]",,,D' R' U'D R D' R D R' U R' D' R D' R U' R' D R UD,,,
DBL,"[R D R' : [F', R D' R' D]]","[R' B R, F']","[R U R' U'D' : [R U R', D']]",,"[R', D L D']",,"[R' D' R U'D' : [R' U' R, D2]]",,"[R : [D2, R U R']]",,U2 R D' R' U2 R U'D' R' D R' D' R2 D R' UD R',,,
RDB,"[R U : [D, R U' R']]","[R D' R' D, F']",,"[D L D', R']",,"[R U'D' : [R' U' R, D2]]","[R' UD' : [R U R', D2]]","[D' R : [D, R U R']]",,,R U'D R2' U' R D' R' UD R2 D' R' U R',,,
LDB,"[R UD : [R U' R', D]]","[F' : [R U R', D2]]","[R U'D' R' : [U, R' D R]]",,"[R U'D : [R' U' R, D2]]",,"[Lw UD : [R' U' R, D2]]",,"[R U' R' D' : [R U R', D']]",,R U'D' R U R2' U' R D R' U R' U' R U R,,,
LDF,,,"[R : [R2 U R2 U' R2, D]]","[R' D' R U'D : [R' U' R, D2]]","[R' UD : [R U R', D2]]","[Lw UD' : [R' U' R, D2]]",,"[R' F D' : [R U' R', D']]","[R' : [D2, R' U' R]]",,R' U'D R D' R D R' U R' D' R D' R U' R' D R U,,,
BDL,"[R' D' R : [D2, R U R']]","[B : [R' B' R, F']]","[R' : [D', R2 U' R2 U R2]]",,"[D' R : [R U R', D]]",,"[R' F D' : [D', R U' R']]",,"[R' : [D', R' U' R]]",,R' D' R U' R' D R' D' R2 U R U'D R' UD' R' D,,,
BDR,"[R U R' D : [R U' R', D2]]","[R : [D, R U R']]",,"[R : [R U R', D2]]",,"[R U' R' D' : [D', R U R']]","[R' : [R' U' R, D2]]","[R' : [R' U' R, D']]",,,R U' R U' R2' D R' D' R2 UD R' UD' R',,,
